No,°üÃø¼Ò¸í,°üÃø½Ã°£,À¯¼Ó(Kn & cm/s),À¯Çâ(¢ª),À¯Çâ16¹æÀ§,,,,,,,
42,»ó¿Õµîµµ,2024-05-13 6:50,.89 & 45.9,18,ºÏºÏµ¿,,,,,,,
43,»ó¿Õµîµµ,2024-05-13 7:00,.8 & 41.1,15,ºÏºÏµ¿,,,,,,,
44,»ó¿Õµîµµ,2024-05-13 7:10,.7 & 35.8,10,ºÏ,,,,,,,
45,»ó¿Õµîµµ,2024-05-13 7:20,.69 & 35.6,9,ºÏ,,,,,,,
46,»ó¿Õµîµµ,2024-05-13 7:30,.59 & 30.6,358,ºÏ,,,,,,,
47,»ó¿Õµîµµ,2024-05-13 7:40,.52 & 26.5,359,ºÏ,,,,,,,
48,»ó¿Õµîµµ,2024-05-13 7:50,.44 & 22.4,0,ºÏ,,,,,,,
49,»ó¿Õµîµµ,2024-05-13 8:00,.38 & 19.3,351,ºÏ,,,,,,,
50,»ó¿Õµîµµ,2024-05-13 8:10,.35 & 18.2,318,ºÏ¼­,,,,,,,
51,»ó¿Õµîµµ,2024-05-13 8:20,.22 & 11.1,330,ºÏºÏ¼­,,,,,,,
52,»ó¿Õµîµµ,2024-05-13 8:30,.24 & 12.4,299,¼­ºÏ¼­,,,,,,,
53,»ó¿Õµîµµ,2024-05-13 8:40,.29 & 14.7,297,¼­ºÏ¼­,,,,,,,
54,»ó¿Õµîµµ,2024-05-13 8:50,.29 & 15,278,¼­,,,,,,,
55,»ó¿Õµîµµ,2024-05-13 9:00,.36 & 18.4,277,¼­,,,,,,,
56,»ó¿Õµîµµ,2024-05-13 9:10,.35 & 18.1,269,¼­,,,,,,,
57,»ó¿Õµîµµ,2024-05-13 9:20,.37 & 19.1,251,¼­³²¼­,,,,,,,
58,»ó¿Õµîµµ,2024-05-13 9:30,.42 & 21.4,253,¼­³²¼­,,,,,,,
59,»ó¿Õµîµµ,2024-05-13 9:40,.41 & 21.3,247,¼­³²¼­,,,,,,,
60,»ó¿Õµîµµ,2024-05-13 9:50,.55 & 28.3,241,¼­³²¼­,,,,,,,
61,»ó¿Õµîµµ,2024-05-13 10:00,.5 & 25.8,236,³²¼­,,,,,,,
62,»ó¿Õµîµµ,2024-05-13 10:10,.55 & 28.4,230,³²¼­,,,,,,,
63,»ó¿Õµîµµ,2024-05-13 10:20,.55 & 28.4,233,³²¼­,,,,,,,
64,»ó¿Õµîµµ,2024-05-13 10:30,.61 & 31.5,231,³²¼­,,,,,,,
65,»ó¿Õµîµµ,2024-05-13 10:40,.72 & 37,231,³²¼­,,,,,,,
66,»ó¿Õµîµµ,2024-05-13 11:00,.74 & 38.1,222,³²¼­,,,,,,,
67,»ó¿Õµîµµ,2024-05-13 11:10,.75 & 38.8,220,³²¼­,,,,,,,
68,»ó¿Õµîµµ,2024-05-13 11:20,.74 & 38.3,223,³²¼­,,,,,,,
69,»ó¿Õµîµµ,2024-05-13 11:30,.73 & 37.4,228,³²¼­,,,,,,,
70,»ó¿Õµîµµ,2024-05-13 11:40,.78 & 40.2,229,³²¼­,,,,,,,
71,»ó¿Õµîµµ,2024-05-13 11:50,.75 & 38.4,227,³²¼­,,,,,,,
72,»ó¿Õµîµµ,2024-05-13 12:00,.74 & 38,222,³²¼­,,,,,,,
73,»ó¿Õµîµµ,2024-05-13 12:10,.79 & 40.6,214,³²¼­,,,,,,,
74,»ó¿Õµîµµ,2024-05-13 12:20,.81 & 41.6,209,³²³²¼­,,,,,,,
75,»ó¿Õµîµµ,2024-05-13 12:30,.77 & 39.7,205,³²³²¼­,,,,,,,
76,»ó¿Õµîµµ,2024-05-13 12:40,.71 & 36.6,198,³²³²¼­,,,,,,,
77,»ó¿Õµîµµ,2024-05-13 12:50,.68 & 35,201,³²³²¼­,,,,,,,
78,»ó¿Õµîµµ,2024-05-13 13:00,.63 & 32.2,196,³²³²¼­,,,,,,,
79,»ó¿Õµîµµ,2024-05-13 13:10,.54 & 27.8,188,³²,,,,,,,
80,»ó¿Õµîµµ,2024-05-13 13:20,.59 & 30.1,181,³²,,,,,,,
81,»ó¿Õµîµµ,2024-05-13 13:30,.56 & 28.7,176,³²,,,,,,,
82,»ó¿Õµîµµ,2024-05-13 13:40,.59 & 30.2,171,³²,,,,,,,
83,»ó¿Õµîµµ,2024-05-13 13:50,.54 & 27.6,163,³²³²µ¿,,,,,,,
84,»ó¿Õµîµµ,2024-05-13 14:00,.53 & 27.1,156,³²³²µ¿,,,,,,,
85,»ó¿Õµîµµ,2024-05-13 14:10,.53 & 27.2,148,³²³²µ¿,,,,,,,
86,»ó¿Õµîµµ,2024-05-13 14:20,.47 & 24,140,³²µ¿,,,,,,,
87,»ó¿Õµîµµ,2024-05-13 14:30,.45 & 23.1,144,³²µ¿,,,,,,,
88,»ó¿Õµîµµ,2024-05-13 14:40,.42 & 21.7,140,³²µ¿,,,,,,,
89,»ó¿Õµîµµ,2024-05-13 14:50,.47 & 24.4,134,³²µ¿,,,,,,,
90,»ó¿Õµîµµ,2024-05-13 15:00,.44 & 22.4,134,³²µ¿,,,,,,,
91,»ó¿Õµîµµ,2024-05-13 15:10,.43 & 21.9,128,³²µ¿,,,,,,,
92,»ó¿Õµîµµ,2024-05-13 15:20,.33 & 17.1,122,µ¿³²µ¿,,,,,,,
93,»ó¿Õµîµµ,2024-05-13 15:30,.29 & 15,128,³²µ¿,,,,,,,
94,»ó¿Õµîµµ,2024-05-13 15:40,.27 & 14,120,µ¿³²µ¿,,,,,,,
95,»ó¿Õµîµµ,2024-05-13 15:50,.27 & 13.9,113,µ¿³²µ¿,,,,,,,
96,»ó¿Õµîµµ,2024-05-13 16:00,.21 & 10.9,114,µ¿³²µ¿,,,,,,,
97,»ó¿Õµîµµ,2024-05-13 16:10,.17 & 8.6,112,µ¿³²µ¿,,,,,,,
98,»ó¿Õµîµµ,2024-05-13 16:20,.17 & 8.6,104,µ¿³²µ¿,,,,,,,
99,»ó¿Õµîµµ,2024-05-13 16:30,.19 & 9.7,93,µ¿,,,,,,,
100,»ó¿Õµîµµ,2024-05-13 16:40,.17 & 9,98,µ¿,,,,,,,
101,»ó¿Õµîµµ,2024-05-13 16:50,.13 & 6.5,77,µ¿ºÏµ¿,,,,,,,
102,»ó¿Õµîµµ,2024-05-13 17:00,.11 & 5.8,118,µ¿³²µ¿,,,,,,,
103,»ó¿Õµîµµ,2024-05-13 17:10,.07 & 3.7,95,µ¿,,,,,,,
104,»ó¿Õµîµµ,2024-05-13 17:20,.05 & 2.8,58,µ¿ºÏµ¿,,,,,,,
105,»ó¿Õµîµµ,2024-05-13 17:30,.07 & 3.5,294,¼­ºÏ¼­,,,,,,,
106,»ó¿Õµîµµ,2024-05-13 17:40,.08 & 4.3,329,ºÏºÏ¼­,,,,,,,
107,»ó¿Õµîµµ,2024-05-13 17:50,.16 & 8,315,ºÏ¼­,,,,,,,
108,»ó¿Õµîµµ,2024-05-13 18:00,.17 & 8.6,313,ºÏ¼­,,,,,,,
109,»ó¿Õµîµµ,2024-05-13 18:10,.16 & 8.4,297,¼­ºÏ¼­,,,,,,,
110,»ó¿Õµîµµ,2024-05-13 18:20,.28 & 14.5,292,¼­ºÏ¼­,,,,,,,
111,»ó¿Õµîµµ,2024-05-13 18:30,.31 & 16,294,¼­ºÏ¼­,,,,,,,
112,»ó¿Õµîµµ,2024-05-13 18:40,.31 & 16,303,¼­ºÏ¼­,,,,,,,
113,»ó¿Õµîµµ,2024-05-13 18:50,.3 & 15.2,285,¼­ºÏ¼­,,,,,,,
114,»ó¿Õµîµµ,2024-05-13 19:00,.37 & 18.8,288,¼­ºÏ¼­,,,,,,,
115,»ó¿Õµîµµ,2024-05-13 19:10,.35 & 18.2,288,¼­ºÏ¼­,,,,,,,
116,»ó¿Õµîµµ,2024-05-13 19:20,.39 & 20.1,281,¼­,,,,,,,
117,»ó¿Õµîµµ,2024-05-13 19:30,.39 & 19.9,285,¼­ºÏ¼­,,,,,,,
118,»ó¿Õµîµµ,2024-05-13 19:40,.45 & 23.3,282,¼­ºÏ¼­,,,,,,,
119,»ó¿Õµîµµ,2024-05-13 19:50,.66 & 33.9,268,¼­,,,,,,,
120,»ó¿Õµîµµ,2024-05-13 20:00,.73 & 37.3,262,¼­,,,,,,,
121,»ó¿Õµîµµ,2024-05-13 20:10,.62 & 32.1,265,¼­,,,,,,,
122,»ó¿Õµîµµ,2024-05-13 20:20,.68 & 34.9,269,¼­,,,,,,,
123,»ó¿Õµîµµ,2024-05-13 20:30,.78 & 40.3,264,¼­,,,,,,,
124,»ó¿Õµîµµ,2024-05-13 20:40,.77 & 39.7,259,¼­,,,,,,,
125,»ó¿Õµîµµ,2024-05-13 20:50,.78 & 39.9,257,¼­³²¼­,,,,,,,
126,»ó¿Õµîµµ,2024-05-13 21:00,.83 & 42.5,257,¼­³²¼­,,,,,,,
127,»ó¿Õµîµµ,2024-05-13 21:10,.8 & 41.2,254,¼­³²¼­,,,,,,,
128,»ó¿Õµîµµ,2024-05-13 21:20,.84 & 43,251,¼­³²¼­,,,,,,,
129,»ó¿Õµîµµ,2024-05-13 21:30,.83 & 42.8,249,¼­³²¼­,,,,,,,
130,»ó¿Õµîµµ,2024-05-13 21:40,.89 & 45.7,247,¼­³²¼­,,,,,,,
131,»ó¿Õµîµµ,2024-05-13 21:50,.87 & 45,246,¼­³²¼­,,,,,,,
132,»ó¿Õµîµµ,2024-05-13 22:00,.94 & 48.5,241,¼­³²¼­,,,,,,,
133,»ó¿Õµîµµ,2024-05-13 22:10,.97 & 50,237,¼­³²¼­,,,,,,,
134,»ó¿Õµîµµ,2024-05-13 22:20,.98 & 50.4,236,³²¼­,,,,,,,
135,»ó¿Õµîµµ,2024-05-13 22:30,1.03 & 52.9,234,³²¼­,,,,,,,
136,»ó¿Õµîµµ,2024-05-13 22:40,.97 & 50,233,³²¼­,,,,,,,
137,»ó¿Õµîµµ,2024-05-13 22:50,1 & 51.5,230,³²¼­,,,,,,,
138,»ó¿Õµîµµ,2024-05-13 23:00,.98 & 50.2,228,³²¼­,,,,,,,
139,»ó¿Õµîµµ,2024-05-13 23:10,.95 & 48.9,227,³²¼­,,,,,,,
140,»ó¿Õµîµµ,2024-05-13 23:20,.96 & 49.2,227,³²¼­,,,,,,,
141,»ó¿Õµîµµ,2024-05-13 23:30,.82 & 42,225,³²¼­,,,,,,,
142,»ó¿Õµîµµ,2024-05-13 23:40,.8 & 41.4,225,³²¼­,,,,,,,
143,»ó¿Õµîµµ,2024-05-13 23:50,.72 & 37.1,225,³²¼­,,,,,,,
144,»ó¿Õµîµµ,2024-05-14 0:00,.69 & 35.7,224,³²¼­,,,,,,,
145,»ó¿Õµîµµ,2024-05-14 0:10,.65 & 33.3,223,³²¼­,,,,,,,
146,»ó¿Õµîµµ,2024-05-14 0:20,.59 & 30.2,225,³²¼­,,,,,,,
147,»ó¿Õµîµµ,2024-05-14 0:30,.53 & 27.4,225,³²¼­,,,,,,,
148,»ó¿Õµîµµ,2024-05-14 0:40,.48 & 24.5,219,³²¼­,,,,,,,
149,»ó¿Õµîµµ,2024-05-14 0:50,.42 & 21.4,217,³²¼­,,,,,,,
150,»ó¿Õµîµµ,2024-05-14 1:00,.3 & 15.6,210,³²³²¼­,,,,,,,
151,»ó¿Õµîµµ,2024-05-14 1:10,.2 & 10.1,201,³²³²¼­,,,,,,,
152,»ó¿Õµîµµ,2024-05-14 1:20,.12 & 6.1,181,³²,,,,,,,
153,»ó¿Õµîµµ,2024-05-14 1:30,.13 & 6.6,123,µ¿³²µ¿,,,,,,,
154,»ó¿Õµîµµ,2024-05-14 1:40,.2 & 10.5,109,µ¿³²µ¿,,,,,,,
155,»ó¿Õµîµµ,2024-05-14 1:50,.27 & 14.1,85,µ¿,,,,,,,
156,»ó¿Õµîµµ,2024-05-14 2:00,.36 & 18.5,86,µ¿,,,,,,,
157,»ó¿Õµîµµ,2024-05-14 2:10,.42 & 21.5,82,µ¿,,,,,,,
158,»ó¿Õµîµµ,2024-05-14 2:20,.47 & 24,76,µ¿ºÏµ¿,,,,,,,
159,»ó¿Õµîµµ,2024-05-14 2:30,.65 & 33.3,70,µ¿ºÏµ¿,,,,,,,
160,»ó¿Õµîµµ,2024-05-14 2:40,.75 & 38.5,69,µ¿ºÏµ¿,,,,,,,
161,»ó¿Õµîµµ,2024-05-14 2:50,.79 & 40.6,71,µ¿ºÏµ¿,,,,,,,
162,»ó¿Õµîµµ,2024-05-14 3:00,.78 & 40.3,68,µ¿ºÏµ¿,,,,,,,
163,»ó¿Õµîµµ,2024-05-14 3:10,.81 & 41.7,66,µ¿ºÏµ¿,,,,,,,
164,»ó¿Õµîµµ,2024-05-14 3:20,.82 & 42.4,69,µ¿ºÏµ¿,,,,,,,
165,»ó¿Õµîµµ,2024-05-14 3:30,1.12 & 57.6,71,µ¿ºÏµ¿,,,,,,,
166,»ó¿Õµîµµ,2024-05-14 3:40,.91 & 47,69,µ¿ºÏµ¿,,,,,,,
167,»ó¿Õµîµµ,2024-05-14 3:50,.92 & 47.3,71,µ¿ºÏµ¿,,,,,,,
168,»ó¿Õµîµµ,2024-05-14 4:00,.89 & 45.7,70,µ¿ºÏµ¿,,,,,,,
169,»ó¿Õµîµµ,2024-05-14 4:10,.71 & 36.6,69,µ¿ºÏµ¿,,,,,,,
170,»ó¿Õµîµµ,2024-05-14 4:20,.73 & 37.3,61,µ¿ºÏµ¿,,,,,,,
171,»ó¿Õµîµµ,2024-05-14 4:30,.69 & 35.3,53,ºÏµ¿,,,,,,,
172,»ó¿Õµîµµ,2024-05-14 4:40,.73 & 37.3,48,ºÏµ¿,,,,,,,
173,»ó¿Õµîµµ,2024-05-14 4:50,.78 & 40,42,ºÏµ¿,,,,,,,
174,»ó¿Õµîµµ,2024-05-14 5:00,.74 & 38.2,37,ºÏµ¿,,,,,,,
175,»ó¿Õµîµµ,2024-05-14 5:10,.74 & 38.3,29,ºÏºÏµ¿,,,,,,,
176,»ó¿Õµîµµ,2024-05-14 5:20,.75 & 38.6,26,ºÏºÏµ¿,,,,,,,
177,»ó¿Õµîµµ,2024-05-14 5:30,.73 & 37.4,20,ºÏºÏµ¿,,,,,,,
178,»ó¿Õµîµµ,2024-05-14 5:40,.99 & 51,19,ºÏºÏµ¿,,,,,,,
179,»ó¿Õµîµµ,2024-05-14 5:50,1.14 & 58.4,36,ºÏµ¿,,,,,,,
180,»ó¿Õµîµµ,2024-05-14 6:00,1.13 & 58.3,38,ºÏµ¿,,,,,,,
181,»ó¿Õµîµµ,2024-05-14 6:10,1.13 & 58.1,32,ºÏºÏµ¿,,,,,,,
182,»ó¿Õµîµµ,2024-05-14 6:20,1.17 & 60.2,32,ºÏºÏµ¿,,,,,,,
183,»ó¿Õµîµµ,2024-05-14 6:30,1.16 & 59.6,25,ºÏºÏµ¿,,,,,,,
184,»ó¿Õµîµµ,2024-05-14 6:40,1.05 & 53.8,20,ºÏºÏµ¿,,,,,,,
185,»ó¿Õµîµµ,2024-05-14 6:50,1.1 & 56.5,19,ºÏºÏµ¿,,,,,,,
186,»ó¿Õµîµµ,2024-05-14 7:00,.94 & 48.5,16,ºÏºÏµ¿,,,,,,,
187,»ó¿Õµîµµ,2024-05-14 7:10,.96 & 49.3,14,ºÏºÏµ¿,,,,,,,
188,»ó¿Õµîµµ,2024-05-14 7:20,.97 & 50,11,ºÏ,,,,,,,
189,»ó¿Õµîµµ,2024-05-14 7:30,.91 & 46.7,9,ºÏ,,,,,,,
190,»ó¿Õµîµµ,2024-05-14 7:40,.81 & 41.6,5,ºÏ,,,,,,,
191,»ó¿Õµîµµ,2024-05-14 7:50,.79 & 40.7,359,ºÏ,,,,,,,
192,»ó¿Õµîµµ,2024-05-14 8:00,.74 & 38.3,357,ºÏ,,,,,,,
193,»ó¿Õµîµµ,2024-05-14 8:10,.68 & 35,354,ºÏ,,,,,,,
194,»ó¿Õµîµµ,2024-05-14 8:20,.69 & 35.7,350,ºÏ,,,,,,,
195,»ó¿Õµîµµ,2024-05-14 8:30,.6 & 30.9,342,ºÏºÏ¼­,,,,,,,
196,»ó¿Õµîµµ,2024-05-14 8:40,.65 & 33.6,336,ºÏºÏ¼­,,,,,,,
197,»ó¿Õµîµµ,2024-05-14 8:50,.57 & 29.5,336,ºÏºÏ¼­,,,,,,,
198,»ó¿Õµîµµ,2024-05-14 9:00,.54 & 27.9,326,ºÏ¼­,,,,,,,
199,»ó¿Õµîµµ,2024-05-14 9:10,30,327,ºÏºÏ¼­,,,,,,,
200,»ó¿Õµîµµ,2024-05-14 9:20,25.8,326,ºÏ¼­,,,,,,,
201,»ó¿Õµîµµ,2024-05-14 9:30,24.5,323,ºÏ¼­,,,,,,,
202,»ó¿Õµîµµ,2024-05-14 9:40,24.2,320,ºÏ¼­,,,,,,,
203,»ó¿Õµîµµ,2024-05-14 9:50,20.9,319,ºÏ¼­,,,,,,,
204,»ó¿Õµîµµ,2024-05-14 10:00,21.2,305,ºÏ¼­,,1,2,3,4,5,6
205,»ó¿Õµîµµ,2024-05-14 10:10,19.6,294,¼­ºÏ¼­,,30,19.6,15.1,18.8,15.6,18.5
206,»ó¿Õµîµµ,2024-05-14 10:20,20.4,293,¼­ºÏ¼­,,25.8,20.4,11.4,21.1,15.8,18.3
207,»ó¿Õµîµµ,2024-05-14 10:30,12.2,276,¼­,,24.5,12.2,12.5,22.3,18.1,20.1
208,»ó¿Õµîµµ,2024-05-14 10:40,16.5,272,¼­,,24.2,16.5,15.4,21.7,16.4,21
209,»ó¿Õµîµµ,2024-05-14 10:50,13.3,260,¼­,,20.9,13.3,15.2,17.8,17.3,24.2
210,»ó¿Õµîµµ,2024-05-14 11:00,17.2,259,¼­,,21.2,17.2,14.5,16,16.3,26.4
211,»ó¿Õµîµµ,2024-05-14 11:10,15.1,252,¼­³²¼­,,19.6,15.1,18.8,15.6,18.5,27.3
212,»ó¿Õµîµµ,2024-05-14 11:20,11.4,241,¼­³²¼­,À¯¼Ó,23.74285714,16.32857143,14.7,19.04285714,16.85714286,22.25714286
213,»ó¿Õµîµµ,2024-05-14 11:30,12.5,240,¼­³²¼­,,,,,,,
214,»ó¿Õµîµµ,2024-05-14 11:40,15.4,240,¼­³²¼­,,,,,,,
215,»ó¿Õµîµµ,2024-05-14 11:50,15.2,225,³²¼­,,1,2,3,4,5,6
216,»ó¿Õµîµµ,2024-05-14 12:00,14.5,226,³²¼­,,327,294,252,217,185,146
217,»ó¿Õµîµµ,2024-05-14 12:10,18.8,217,³²¼­,,326,293,241,211,184,139
218,»ó¿Õµîµµ,2024-05-14 12:20,21.1,211,³²³²¼­,,323,276,240,208,176,124
219,»ó¿Õµîµµ,2024-05-14 12:30,22.3,208,³²³²¼­,,320,272,240,206,174,126
220,»ó¿Õµîµµ,2024-05-14 12:40,21.7,206,³²³²¼­,,319,260,225,202,164,130
221,»ó¿Õµîµµ,2024-05-14 12:50,17.8,202,³²³²¼­,,305,259,226,199,150,133
222,»ó¿Õµîµµ,2024-05-14 13:00,16,199,³²³²¼­,,294,252,217,185,146,121
223,»ó¿Õµîµµ,2024-05-14 13:10,15.6,185,³²,À¯Çâ,316.2857143,272.2857143,234.4285714,204,168.4285714,131.2857143
224,»ó¿Õµîµµ,2024-05-14 13:20,15.8,184,³²,,,,,,,
225,»ó¿Õµîµµ,2024-05-14 13:30,18.1,176,³²,,,,,,,
226,»ó¿Õµîµµ,2024-05-14 13:40,16.4,174,³²,,,,,,,
227,»ó¿Õµîµµ,2024-05-14 13:50,17.3,164,³²³²µ¿,,,,,,,
228,»ó¿Õµîµµ,2024-05-14 14:00,16.3,150,³²³²µ¿,,,,,,,
229,»ó¿Õµîµµ,2024-05-14 14:10,18.5,146,³²µ¿,,,,,,,
230,»ó¿Õµîµµ,2024-05-14 14:20,18.3,139,³²µ¿,,,,,,,
231,»ó¿Õµîµµ,2024-05-14 14:30,20.1,124,³²µ¿,,,,,,,
232,»ó¿Õµîµµ,2024-05-14 14:40,21,126,³²µ¿,,,,,,,
233,»ó¿Õµîµµ,2024-05-14 14:50,24.2,130,³²µ¿,,,,,,,
234,»ó¿Õµîµµ,2024-05-14 15:00,26.4,133,³²µ¿,,,,,,,
235,»ó¿Õµîµµ,2024-05-14 15:10,27.3,121,µ¿³²µ¿,,,,,,,
236,»ó¿Õµîµµ,2024-05-14 15:20,.57 & 29.1,104,µ¿³²µ¿,,,,,,,
237,»ó¿Õµîµµ,2024-05-14 15:30,.57 & 29.5,103,µ¿³²µ¿,,,,,,,
238,»ó¿Õµîµµ,2024-05-14 15:40,.58 & 29.9,99,µ¿,,,,,,,
239,»ó¿Õµîµµ,2024-05-14 15:50,.57 & 29.5,99,µ¿,,,,,,,
240,»ó¿Õµîµµ,2024-05-14 16:00,.58 & 29.7,94,µ¿,,,,,,,
241,»ó¿Õµîµµ,2024-05-14 16:10,.64 & 32.9,96,µ¿,,,,,,,
242,»ó¿Õµîµµ,2024-05-14 16:20,.65 & 33.4,97,µ¿,,,,,,,
243,»ó¿Õµîµµ,2024-05-14 16:30,.6 & 31.1,96,µ¿,,,,,,,
244,»ó¿Õµîµµ,2024-05-14 16:40,.52 & 27,92,µ¿,,,,,,,
245,»ó¿Õµîµµ,2024-05-14 16:50,.47 & 24.2,95,µ¿,,,,,,,
246,»ó¿Õµîµµ,2024-05-14 17:00,.4 & 20.6,94,µ¿,,,,,,,
247,»ó¿Õµîµµ,2024-05-14 17:10,.38 & 19.6,89,µ¿,,,,,,,
248,»ó¿Õµîµµ,2024-05-14 17:20,.31 & 15.8,91,µ¿,,,,,,,
249,»ó¿Õµîµµ,2024-05-14 17:30,.26 & 13.5,88,µ¿,,,,,,,
250,»ó¿Õµîµµ,2024-05-14 17:40,.23 & 12,85,µ¿,,,,,,,
251,»ó¿Õµîµµ,2024-05-14 17:50,.2 & 10.5,84,µ¿,,,,,,,
252,»ó¿Õµîµµ,2024-05-14 18:00,.16 & 8.2,98,µ¿,,,,,,,
253,»ó¿Õµîµµ,2024-05-14 18:10,.18 & 9.2,95,µ¿,,,,,,,
254,»ó¿Õµîµµ,2024-05-14 18:20,.17 & 8.8,91,µ¿,,,,,,,
255,»ó¿Õµîµµ,2024-05-14 18:30,.14 & 7.1,76,µ¿ºÏµ¿,,,,,,,
256,»ó¿Õµîµµ,2024-05-14 18:40,.11 & 5.9,64,µ¿ºÏµ¿,,,,,,,
257,»ó¿Õµîµµ,2024-05-14 18:50,.05 & 2.5,63,µ¿ºÏµ¿,,,,,,,
258,»ó¿Õµîµµ,2024-05-14 19:00,.04 & 2.3,0,ºÏ,,,,,,,
259,»ó¿Õµîµµ,2024-05-14 19:10,.05 & 2.7,318,ºÏ¼­,,,,,,,
260,»ó¿Õµîµµ,2024-05-14 19:20,.12 & 6.4,293,¼­ºÏ¼­,,,,,,,
261,»ó¿Õµîµµ,2024-05-14 19:30,.15 & 7.5,278,¼­,,,,,,,
262,»ó¿Õµîµµ,2024-05-14 19:40,.22 & 11.5,285,¼­ºÏ¼­,,,,,,,
263,»ó¿Õµîµµ,2024-05-14 19:50,.3 & 15.2,293,¼­ºÏ¼­,,,,,,,
264,»ó¿Õµîµµ,2024-05-14 20:00,.31 & 15.9,280,¼­,,,,,,,
