No,°üÃø¼Ò¸í,°üÃø½Ã°£,À¯¼Ó(Kn & cm/s),À¯Çâ(¢ª),À¯Çâ16¹æÀ§
38,¿ï¸ªµµºÏµ¿,2024-05-13 18:30,.26 & 13.6,218,³²¼­
39,¿ï¸ªµµºÏµ¿,2024-05-13 19:00,.46 & 23.7,205,³²³²¼­
40,¿ï¸ªµµºÏµ¿,2024-05-13 19:30,.35 & 18,199,³²³²¼­
41,¿ï¸ªµµºÏµ¿,2024-05-13 20:00,.39 & 19.9,186,³²
42,¿ï¸ªµµºÏµ¿,2024-05-13 20:30,.28 & 14.5,212,³²³²¼­
43,¿ï¸ªµµºÏµ¿,2024-05-13 21:00,.53 & 27.5,179,³²
44,¿ï¸ªµµºÏµ¿,2024-05-13 21:30,.58 & 29.8,170,³²
45,¿ï¸ªµµºÏµ¿,2024-05-13 22:00,.67 & 34.3,167,³²³²µ¿
46,¿ï¸ªµµºÏµ¿,2024-05-13 22:30,.66 & 33.7,155,³²³²µ¿
47,¿ï¸ªµµºÏµ¿,2024-05-13 23:00,.66 & 34.1,164,³²³²µ¿
48,¿ï¸ªµµºÏµ¿,2024-05-13 23:30,.77 & 39.7,174,³²
49,¿ï¸ªµµºÏµ¿,2024-05-14 00:00,.83 & 42.9,180,³²
50,¿ï¸ªµµºÏµ¿,2024-05-14 00:30,.69 & 35.5,168,³²³²µ¿
51,¿ï¸ªµµºÏµ¿,2024-05-14 01:00,.75 & 38.5,182,³²
52,¿ï¸ªµµºÏµ¿,2024-05-14 01:30,.75 & 38.5,183,³²
53,¿ï¸ªµµºÏµ¿,2024-05-14 02:00,.67 & 34.5,184,³²
54,¿ï¸ªµµºÏµ¿,2024-05-14 02:30,.78 & 39.9,174,³²
55,¿ï¸ªµµºÏµ¿,2024-05-14 03:00,.81 & 41.9,191,³²
56,¿ï¸ªµµºÏµ¿,2024-05-14 03:30,.73 & 37.6,206,³²³²¼­
57,¿ï¸ªµµºÏµ¿,2024-05-14 04:00,.61 & 31.5,219,³²¼­
58,¿ï¸ªµµºÏµ¿,2024-05-14 04:30,.72 & 36.8,218,³²¼­
59,¿ï¸ªµµºÏµ¿,2024-05-14 05:00,.43 & 22.1,226,³²¼­
60,¿ï¸ªµµºÏµ¿,2024-05-14 05:30,.47 & 24.1,230,³²¼­
61,¿ï¸ªµµºÏµ¿,2024-05-14 06:00,.65 & 33.4,201,³²³²¼­
62,¿ï¸ªµµºÏµ¿,2024-05-14 06:30,.56 & 28.7,229,³²¼­
63,¿ï¸ªµµºÏµ¿,2024-05-14 07:00,.7 & 36,209,³²³²¼­
64,¿ï¸ªµµºÏµ¿,2024-05-14 07:30,.47 & 24.1,224,³²¼­
65,¿ï¸ªµµºÏµ¿,2024-05-14 08:00,.22 & 11.1,231,³²¼­
66,¿ï¸ªµµºÏµ¿,2024-05-14 08:30,.52 & 26.8,202,³²³²¼­
67,¿ï¸ªµµºÏµ¿,2024-05-14 09:00,.16 & 8.4,230,³²¼­
68,¿ï¸ªµµºÏµ¿,2024-05-14 09:30,.3 & 15.2,230,³²¼­
69,¿ï¸ªµµºÏµ¿,2024-05-14 10:00,.31 & 16.2,193,³²³²¼­
70,¿ï¸ªµµºÏµ¿,2024-05-14 10:30,.47 & 24.2,181,³²
71,¿ï¸ªµµºÏµ¿,2024-05-14 11:00,.33 & 16.8,187,³²
72,¿ï¸ªµµºÏµ¿,2024-05-14 11:30,.37 & 19.2,193,³²³²¼­
73,¿ï¸ªµµºÏµ¿,2024-05-14 12:00,.34 & 17.6,182,³²
74,¿ï¸ªµµºÏµ¿,2024-05-14 12:30,.27 & 13.7,147,³²³²µ¿
75,¿ï¸ªµµºÏµ¿,2024-05-14 13:00,.19 & 9.6,152,³²³²µ¿
76,¿ï¸ªµµºÏµ¿,2024-05-14 13:30,.41 & 20.9,194,³²³²¼­
77,¿ï¸ªµµºÏµ¿,2024-05-14 14:00,.61 & 31.3,188,³²
78,¿ï¸ªµµºÏµ¿,2024-05-14 14:30,.42 & 21.8,201,³²³²¼­
79,¿ï¸ªµµºÏµ¿,2024-05-14 15:00,.63 & 32.5,196,³²³²¼­
80,¿ï¸ªµµºÏµ¿,2024-05-14 15:30,.48 & 24.5,205,³²³²¼­
81,¿ï¸ªµµºÏµ¿,2024-05-14 16:00,.48 & 24.9,205,³²³²¼­
82,¿ï¸ªµµºÏµ¿,2024-05-14 16:30,.46 & 23.6,211,³²³²¼­
83,¿ï¸ªµµºÏµ¿,2024-05-14 17:00,.29 & 15,208,³²³²¼­
84,¿ï¸ªµµºÏµ¿,2024-05-14 17:30,.42 & 21.7,220,³²¼­
85,¿ï¸ªµµºÏµ¿,2024-05-14 18:00,.4 & 20.4,216,³²¼­
86,¿ï¸ªµµºÏµ¿,2024-05-14 18:30,.5 & 25.9,217,³²¼­
87,¿ï¸ªµµºÏµ¿,2024-05-14 19:00,.46 & 23.9,227,³²¼­
88,¿ï¸ªµµºÏµ¿,2024-05-14 19:30,.44 & 22.8,221,³²¼­
89,¿ï¸ªµµºÏµ¿,2024-05-14 20:00,.34 & 17.5,224,³²¼­
90,¿ï¸ªµµºÏµ¿,2024-05-14 20:30,.46 & 23.8,210,³²³²¼­
91,¿ï¸ªµµºÏµ¿,2024-05-14 21:00,.73 & 37.4,183,³²
92,¿ï¸ªµµºÏµ¿,2024-05-14 21:30,.4 & 20.4,218,³²¼­
93,¿ï¸ªµµºÏµ¿,2024-05-14 22:00,.5 & 25.8,204,³²³²¼­
94,¿ï¸ªµµºÏµ¿,2024-05-14 22:30,.66 & 33.8,196,³²³²¼­
95,¿ï¸ªµµºÏµ¿,2024-05-14 23:00,.38 & 19.6,225,³²¼­
96,¿ï¸ªµµºÏµ¿,2024-05-14 23:30,.32 & 16.3,209,³²³²¼­
