No,°üÃø¼Ò¸í,°üÃø½Ã°£,À¯¼Ó(Kn & cm/s),À¯Çâ(¢ª),À¯Çâ16¹æÀ§
63,»ó¿Õµîµµ,2023-10-10 10:20,.14 & 7.2,147,³²³²µ¿
64,»ó¿Õµîµµ,2023-10-10 10:30,.06 & 3.2,134,³²µ¿
65,»ó¿Õµîµµ,2023-10-10 10:40,.11 & 5.8,168,³²³²µ¿
66,»ó¿Õµîµµ,2023-10-10 10:50,.11 & 5.8,198,³²³²¼­
67,»ó¿Õµîµµ,2023-10-10 11:00,.05 & 2.8,195,³²³²¼­
68,»ó¿Õµîµµ,2023-10-10 11:10,.1 & 5.4,175,³²
69,»ó¿Õµîµµ,2023-10-10 11:20,.01 & .5,116,µ¿³²µ¿
70,»ó¿Õµîµµ,2023-10-10 11:30,0 & .2,325,ºÏ¼­
71,»ó¿Õµîµµ,2023-10-10 11:40,.05 & 2.7,292,¼­ºÏ¼­
72,»ó¿Õµîµµ,2023-10-10 11:50,.1 & 5.4,275,¼­
73,»ó¿Õµîµµ,2023-10-10 12:00,.17 & 9,260,¼­
74,»ó¿Õµîµµ,2023-10-10 12:10,.1 & 5.3,276,¼­
75,»ó¿Õµîµµ,2023-10-10 12:20,.16 & 8.3,291,¼­ºÏ¼­
76,»ó¿Õµîµµ,2023-10-10 12:30,.31 & 15.8,284,¼­ºÏ¼­
77,»ó¿Õµîµµ,2023-10-10 12:40,.23 & 12,281,¼­
78,»ó¿Õµîµµ,2023-10-10 12:50,.33 & 16.9,273,¼­
79,»ó¿Õµîµµ,2023-10-10 13:00,.36 & 18.4,265,¼­
80,»ó¿Õµîµµ,2023-10-10 13:10,.46 & 23.7,264,¼­
81,»ó¿Õµîµµ,2023-10-10 13:20,.51 & 26.1,265,¼­
82,»ó¿Õµîµµ,2023-10-10 13:30,.58 & 29.6,262,¼­
83,»ó¿Õµîµµ,2023-10-10 13:40,.56 & 29,264,¼­
84,»ó¿Õµîµµ,2023-10-10 13:50,.59 & 30.6,264,¼­
85,»ó¿Õµîµµ,2023-10-10 14:00,.57 & 29.4,263,¼­
86,»ó¿Õµîµµ,2023-10-10 14:10,.52 & 26.9,266,¼­
87,»ó¿Õµîµµ,2023-10-10 14:20,.56 & 28.9,258,¼­³²¼­
88,»ó¿Õµîµµ,2023-10-10 14:30,.63 & 32.5,258,¼­³²¼­
89,»ó¿Õµîµµ,2023-10-10 14:40,.62 & 31.8,251,¼­³²¼­
90,»ó¿Õµîµµ,2023-10-10 14:50,.59 & 30.4,244,¼­³²¼­
91,»ó¿Õµîµµ,2023-10-10 15:00,.68 & 34.8,245,¼­³²¼­
92,»ó¿Õµîµµ,2023-10-10 15:10,.8 & 41.1,245,¼­³²¼­
93,»ó¿Õµîµµ,2023-10-10 15:20,.73 & 37.3,244,¼­³²¼­
94,»ó¿Õµîµµ,2023-10-10 15:30,.7 & 36,240,¼­³²¼­
95,»ó¿Õµîµµ,2023-10-10 15:40,.83 & 42.7,239,¼­³²¼­
96,»ó¿Õµîµµ,2023-10-10 15:50,.88 & 45.3,233,³²¼­
97,»ó¿Õµîµµ,2023-10-10 16:00,.85 & 43.6,235,³²¼­
98,»ó¿Õµîµµ,2023-10-10 16:10,.88 & 45.4,232,³²¼­
99,»ó¿Õµîµµ,2023-10-10 16:20,.82 & 42.1,230,³²¼­
100,»ó¿Õµîµµ,2023-10-10 16:30,.83 & 42.7,225,³²¼­
101,»ó¿Õµîµµ,2023-10-10 16:40,.79 & 40.8,223,³²¼­
102,»ó¿Õµîµµ,2023-10-10 16:50,.85 & 43.7,224,³²¼­
103,»ó¿Õµîµµ,2023-10-10 17:00,.8 & 41.2,222,³²¼­
104,»ó¿Õµîµµ,2023-10-10 17:10,.83 & 42.5,221,³²¼­
105,»ó¿Õµîµµ,2023-10-10 17:20,.82 & 42.2,222,³²¼­
106,»ó¿Õµîµµ,2023-10-10 17:30,.84 & 43.1,215,³²¼­
107,»ó¿Õµîµµ,2023-10-10 17:40,.83 & 42.9,215,³²¼­
108,»ó¿Õµîµµ,2023-10-10 17:50,.81 & 41.8,210,³²³²¼­
109,»ó¿Õµîµµ,2023-10-10 18:00,.73 & 37.3,211,³²³²¼­
110,»ó¿Õµîµµ,2023-10-10 18:10,.78 & 40.2,211,³²³²¼­
111,»ó¿Õµîµµ,2023-10-10 18:20,.73 & 37.4,212,³²³²¼­
112,»ó¿Õµîµµ,2023-10-10 18:30,.75 & 38.8,211,³²³²¼­
113,»ó¿Õµîµµ,2023-10-10 18:40,.71 & 36.5,209,³²³²¼­
114,»ó¿Õµîµµ,2023-10-10 18:50,.69 & 35.6,205,³²³²¼­
115,»ó¿Õµîµµ,2023-10-10 19:00,.56 & 28.9,207,³²³²¼­
116,»ó¿Õµîµµ,2023-10-10 19:10,.55 & 28.1,203,³²³²¼­
117,»ó¿Õµîµµ,2023-10-10 19:20,.54 & 27.8,200,³²³²¼­
118,»ó¿Õµîµµ,2023-10-10 19:30,.55 & 28.2,189,³²
119,»ó¿Õµîµµ,2023-10-10 19:40,.46 & 23.6,189,³²
120,»ó¿Õµîµµ,2023-10-10 19:50,.34 & 17.6,187,³²
121,»ó¿Õµîµµ,2023-10-10 20:00,.36 & 18.4,184,³²
122,»ó¿Õµîµµ,2023-10-10 20:10,.36 & 18.6,172,³²
123,»ó¿Õµîµµ,2023-10-10 20:20,.36 & 18.7,155,³²³²µ¿
124,»ó¿Õµîµµ,2023-10-10 20:30,.27 & 13.7,141,³²µ¿
125,»ó¿Õµîµµ,2023-10-10 20:40,.33 & 17.1,140,³²µ¿
126,»ó¿Õµîµµ,2023-10-10 20:50,.39 & 20.3,123,µ¿³²µ¿
127,»ó¿Õµîµµ,2023-10-10 21:00,.38 & 19.7,120,µ¿³²µ¿
128,»ó¿Õµîµµ,2023-10-10 21:10,.41 & 21.3,105,µ¿³²µ¿
129,»ó¿Õµîµµ,2023-10-10 21:20,.41 & 21,104,µ¿³²µ¿
130,»ó¿Õµîµµ,2023-10-10 21:30,.46 & 23.8,102,µ¿³²µ¿
131,»ó¿Õµîµµ,2023-10-10 21:40,.46 & 23.8,100,µ¿
132,»ó¿Õµîµµ,2023-10-10 21:50,.53 & 27.2,94,µ¿
133,»ó¿Õµîµµ,2023-10-10 22:00,.48 & 24.5,93,µ¿
134,»ó¿Õµîµµ,2023-10-10 22:10,.44 & 22.8,87,µ¿
135,»ó¿Õµîµµ,2023-10-10 22:20,.46 & 23.6,94,µ¿
136,»ó¿Õµîµµ,2023-10-10 22:30,.43 & 22.2,89,µ¿
137,»ó¿Õµîµµ,2023-10-10 22:40,.35 & 18,94,µ¿
138,»ó¿Õµîµµ,2023-10-10 22:50,.42 & 21.6,89,µ¿
139,»ó¿Õµîµµ,2023-10-10 23:00,.35 & 17.8,81,µ¿
140,»ó¿Õµîµµ,2023-10-10 23:10,.17 & 8.7,83,µ¿
141,»ó¿Õµîµµ,2023-10-10 23:20,.21 & 10.7,80,µ¿
142,»ó¿Õµîµµ,2023-10-10 23:30,.26 & 13.4,58,µ¿ºÏµ¿
143,»ó¿Õµîµµ,2023-10-10 23:40,.23 & 11.7,51,ºÏµ¿
144,»ó¿Õµîµµ,2023-10-10 23:50,.22 & 11.5,55,ºÏµ¿
145,»ó¿Õµîµµ,2023-10-11 00:00,.13 & 6.9,61,µ¿ºÏµ¿
146,»ó¿Õµîµµ,2023-10-11 00:10,.1 & 5.3,85,µ¿
147,»ó¿Õµîµµ,2023-10-11 00:20,.17 & 8.6,25,ºÏºÏµ¿
148,»ó¿Õµîµµ,2023-10-11 00:30,.17 & 8.8,358,ºÏ
149,»ó¿Õµîµµ,2023-10-11 00:40,.18 & 9.3,338,ºÏºÏ¼­
150,»ó¿Õµîµµ,2023-10-11 00:50,.2 & 10.3,328,ºÏºÏ¼­
151,»ó¿Õµîµµ,2023-10-11 01:00,.23 & 11.8,326,ºÏ¼­
152,»ó¿Õµîµµ,2023-10-11 01:10,.23 & 11.8,322,ºÏ¼­
153,»ó¿Õµîµµ,2023-10-11 01:20,.23 & 12,315,ºÏ¼­
154,»ó¿Õµîµµ,2023-10-11 01:30,.35 & 17.8,307,ºÏ¼­
155,»ó¿Õµîµµ,2023-10-11 01:40,.34 & 17.6,293,¼­ºÏ¼­
156,»ó¿Õµîµµ,2023-10-11 01:50,.28 & 14.5,293,¼­ºÏ¼­
157,»ó¿Õµîµµ,2023-10-11 02:00,.46 & 23.6,292,¼­ºÏ¼­
158,»ó¿Õµîµµ,2023-10-11 02:10,.43 & 22.1,289,¼­ºÏ¼­
159,»ó¿Õµîµµ,2023-10-11 02:20,.33 & 17.1,285,¼­ºÏ¼­
160,»ó¿Õµîµµ,2023-10-11 02:30,.43 & 22.1,288,¼­ºÏ¼­
161,»ó¿Õµîµµ,2023-10-11 02:40,.49 & 25.2,275,¼­
162,»ó¿Õµîµµ,2023-10-11 02:50,.5 & 25.7,273,¼­
163,»ó¿Õµîµµ,2023-10-11 03:00,.49 & 25.3,269,¼­
164,»ó¿Õµîµµ,2023-10-11 03:10,.53 & 27.2,263,¼­
165,»ó¿Õµîµµ,2023-10-11 03:20,.51 & 26.4,259,¼­
166,»ó¿Õµîµµ,2023-10-11 03:30,.58 & 29.7,248,¼­³²¼­
167,»ó¿Õµîµµ,2023-10-11 03:40,.58 & 29.8,245,¼­³²¼­
168,»ó¿Õµîµµ,2023-10-11 03:50,.6 & 31.1,246,¼­³²¼­
169,»ó¿Õµîµµ,2023-10-11 04:00,.6 & 30.8,242,¼­³²¼­
170,»ó¿Õµîµµ,2023-10-11 04:10,.66 & 33.7,241,¼­³²¼­
171,»ó¿Õµîµµ,2023-10-11 04:20,.71 & 36.6,235,³²¼­
172,»ó¿Õµîµµ,2023-10-11 04:30,.73 & 37.4,235,³²¼­
173,»ó¿Õµîµµ,2023-10-11 04:40,.77 & 39.6,230,³²¼­
174,»ó¿Õµîµµ,2023-10-11 04:50,.81 & 41.9,228,³²¼­
175,»ó¿Õµîµµ,2023-10-11 05:00,.83 & 42.5,224,³²¼­
176,»ó¿Õµîµµ,2023-10-11 05:10,.8 & 41.1,222,³²¼­
177,»ó¿Õµîµµ,2023-10-11 05:20,.82 & 42.2,222,³²¼­
178,»ó¿Õµîµµ,2023-10-11 05:30,.8 & 41,224,³²¼­
179,»ó¿Õµîµµ,2023-10-11 05:40,.74 & 38.3,219,³²¼­
180,»ó¿Õµîµµ,2023-10-11 06:00,.77 & 39.5,222,³²¼­
181,»ó¿Õµîµµ,2023-10-11 06:10,.74 & 38.3,224,³²¼­
182,»ó¿Õµîµµ,2023-10-11 06:20,.73 & 37.6,226,³²¼­
183,»ó¿Õµîµµ,2023-10-11 06:30,1.02 & 52.5,229,³²¼­
184,»ó¿Õµîµµ,2023-10-11 06:40,1.03 & 52.8,229,³²¼­
185,»ó¿Õµîµµ,2023-10-11 06:50,.92 & 47.3,229,³²¼­
186,»ó¿Õµîµµ,2023-10-11 07:00,.99 & 51,230,³²¼­
187,»ó¿Õµîµµ,2023-10-11 07:10,.99 & 50.9,227,³²¼­
188,»ó¿Õµîµµ,2023-10-11 07:20,.91 & 46.9,229,³²¼­
189,»ó¿Õµîµµ,2023-10-11 07:30,.79 & 40.7,225,³²¼­
190,»ó¿Õµîµµ,2023-10-11 07:40,.76 & 39.3,225,³²¼­
191,»ó¿Õµîµµ,2023-10-11 07:50,.69 & 35.5,228,³²¼­
192,»ó¿Õµîµµ,2023-10-11 08:00,.6 & 30.9,222,³²¼­
193,»ó¿Õµîµµ,2023-10-11 08:10,.52 & 26.6,214,³²¼­
194,»ó¿Õµîµµ,2023-10-11 08:20,.46 & 23.8,221,³²¼­
195,»ó¿Õµîµµ,2023-10-11 08:30,.39 & 20.2,207,³²³²¼­
196,»ó¿Õµîµµ,2023-10-11 08:40,.28 & 14.3,199,³²³²¼­
197,»ó¿Õµîµµ,2023-10-11 08:50,.33 & 17.2,203,³²³²¼­
198,»ó¿Õµîµµ,2023-10-11 09:00,.25 & 12.8,188,³²
199,»ó¿Õµîµµ,2023-10-11 09:10,.14 & 7.2,168,³²³²µ¿
200,»ó¿Õµîµµ,2023-10-11 09:30,.13 & 6.6,145,³²µ¿
201,»ó¿Õµîµµ,2023-10-11 09:40,.18 & 9.5,145,³²µ¿
202,»ó¿Õµîµµ,2023-10-11 09:50,.15 & 7.8,71,µ¿ºÏµ¿
203,»ó¿Õµîµµ,2023-10-11 10:00,.16 & 8,90,µ¿
204,»ó¿Õµîµµ,2023-10-11 10:10,.18 & 9.5,89,µ¿
205,»ó¿Õµîµµ,2023-10-11 10:20,.19 & 10,54,ºÏµ¿
206,»ó¿Õµîµµ,2023-10-11 10:30,.21 & 10.8,68,µ¿ºÏµ¿
207,»ó¿Õµîµµ,2023-10-11 10:40,.24 & 12.1,96,µ¿
208,»ó¿Õµîµµ,2023-10-11 10:50,.24 & 12.1,71,µ¿ºÏµ¿
209,»ó¿Õµîµµ,2023-10-11 11:00,.25 & 12.7,64,µ¿ºÏµ¿
210,»ó¿Õµîµµ,2023-10-11 11:10,.28 & 14.5,74,µ¿ºÏµ¿
211,»ó¿Õµîµµ,2023-10-11 11:20,.22 & 11.4,59,µ¿ºÏµ¿
212,»ó¿Õµîµµ,2023-10-11 11:40,.27 & 13.7,55,ºÏµ¿
213,»ó¿Õµîµµ,2023-10-11 11:50,.18 & 9.2,28,ºÏºÏµ¿
214,»ó¿Õµîµµ,2023-10-11 12:00,.17 & 8.5,24,ºÏºÏµ¿
215,»ó¿Õµîµµ,2023-10-11 12:10,.12 & 6.4,29,ºÏºÏµ¿
216,»ó¿Õµîµµ,2023-10-11 12:20,.14 & 7.4,358,ºÏ
217,»ó¿Õµîµµ,2023-10-11 12:30,.2 & 10.4,339,ºÏºÏ¼­
218,»ó¿Õµîµµ,2023-10-11 12:40,.22 & 11.4,334,ºÏºÏ¼­
219,»ó¿Õµîµµ,2023-10-11 13:00,.29 & 15,346,ºÏºÏ¼­
220,»ó¿Õµîµµ,2023-10-11 13:10,.17 & 8.9,305,ºÏ¼­
221,»ó¿Õµîµµ,2023-10-11 13:20,.09 & 4.8,327,ºÏºÏ¼­
222,»ó¿Õµîµµ,2023-10-11 13:30,.24 & 12.3,311,ºÏ¼­
223,»ó¿Õµîµµ,2023-10-11 13:40,.26 & 13.4,319,ºÏ¼­
224,»ó¿Õµîµµ,2023-10-11 13:50,.28 & 14.5,289,¼­ºÏ¼­
225,»ó¿Õµîµµ,2023-10-11 14:00,.32 & 16.6,310,ºÏ¼­
226,»ó¿Õµîµµ,2023-10-11 14:10,.32 & 16.4,305,ºÏ¼­
227,»ó¿Õµîµµ,2023-10-11 14:20,.34 & 17.3,293,¼­ºÏ¼­
228,»ó¿Õµîµµ,2023-10-11 14:30,.34 & 17.4,288,¼­ºÏ¼­
229,»ó¿Õµîµµ,2023-10-11 14:40,.43 & 22.1,275,¼­
230,»ó¿Õµîµµ,2023-10-11 14:50,.37 & 18.9,269,¼­
231,»ó¿Õµîµµ,2023-10-11 15:00,.44 & 22.7,276,¼­
232,»ó¿Õµîµµ,2023-10-11 15:10,.41 & 20.9,272,¼­
233,»ó¿Õµîµµ,2023-10-11 15:20,.44 & 22.6,262,¼­
234,»ó¿Õµîµµ,2023-10-11 15:30,.46 & 23.5,255,¼­³²¼­
235,»ó¿Õµîµµ,2023-10-11 15:40,.43 & 22.2,241,¼­³²¼­
236,»ó¿Õµîµµ,2023-10-11 15:50,.51 & 26.1,241,¼­³²¼­
237,»ó¿Õµîµµ,2023-10-11 16:00,.62 & 32,239,¼­³²¼­
238,»ó¿Õµîµµ,2023-10-11 16:10,.61 & 31.4,228,³²¼­
239,»ó¿Õµîµµ,2023-10-11 16:20,.65 & 33.5,225,³²¼­
240,»ó¿Õµîµµ,2023-10-11 16:30,.88 & 45.1,238,¼­³²¼­
241,»ó¿Õµîµµ,2023-10-11 16:40,.86 & 44.5,236,³²¼­
242,»ó¿Õµîµµ,2023-10-11 16:50,.89 & 45.9,235,³²¼­
243,»ó¿Õµîµµ,2023-10-11 17:00,.96 & 49.3,235,³²¼­
244,»ó¿Õµîµµ,2023-10-11 17:10,.89 & 46,232,³²¼­
245,»ó¿Õµîµµ,2023-10-11 17:20,.89 & 45.9,229,³²¼­
246,»ó¿Õµîµµ,2023-10-11 17:30,.94 & 48.5,228,³²¼­
247,»ó¿Õµîµµ,2023-10-11 17:40,.98 & 50.6,224,³²¼­
248,»ó¿Õµîµµ,2023-10-11 17:50,1.05 & 53.8,222,³²¼­
249,»ó¿Õµîµµ,2023-10-11 18:00,1.09 & 55.9,224,³²¼­
250,»ó¿Õµîµµ,2023-10-11 18:10,1.06 & 54.5,221,³²¼­
251,»ó¿Õµîµµ,2023-10-11 18:20,1.04 & 53.3,222,³²¼­
252,»ó¿Õµîµµ,2023-10-11 18:30,.87 & 44.7,225,³²¼­
253,»ó¿Õµîµµ,2023-10-11 18:40,.99 & 51,214,³²¼­
254,»ó¿Õµîµµ,2023-10-11 18:50,1.04 & 53.3,214,³²¼­
255,»ó¿Õµîµµ,2023-10-11 19:00,1.02 & 52.5,212,³²³²¼­
256,»ó¿Õµîµµ,2023-10-11 19:10,1.02 & 52.7,212,³²³²¼­
257,»ó¿Õµîµµ,2023-10-11 19:20,1.02 & 52.3,209,³²³²¼­
258,»ó¿Õµîµµ,2023-10-11 19:30,1.01 & 52.2,206,³²³²¼­
259,»ó¿Õµîµµ,2023-10-11 19:40,.99 & 50.8,205,³²³²¼­
260,»ó¿Õµîµµ,2023-10-11 19:50,.96 & 49.4,201,³²³²¼­
261,»ó¿Õµîµµ,2023-10-11 20:00,.9 & 46.1,198,³²³²¼­
262,»ó¿Õµîµµ,2023-10-11 20:10,.86 & 44.5,196,³²³²¼­
263,»ó¿Õµîµµ,2023-10-11 20:20,.79 & 40.5,193,³²³²¼­
264,»ó¿Õµîµµ,2023-10-11 20:30,.69 & 35.4,183,³²
265,»ó¿Õµîµµ,2023-10-11 20:40,.67 & 34.4,179,³²
266,»ó¿Õµîµµ,2023-10-11 20:50,.64 & 33,173,³²
267,»ó¿Õµîµµ,2023-10-11 21:00,.53 & 27.1,165,³²³²µ¿
268,»ó¿Õµîµµ,2023-10-11 21:10,.53 & 27.1,154,³²³²µ¿
269,»ó¿Õµîµµ,2023-10-11 21:20,.52 & 27,154,³²³²µ¿
270,»ó¿Õµîµµ,2023-10-11 21:30,.5 & 25.8,144,³²µ¿
271,»ó¿Õµîµµ,2023-10-11 21:40,.49 & 25.3,138,³²µ¿
272,»ó¿Õµîµµ,2023-10-11 21:50,.51 & 26.1,127,³²µ¿
273,»ó¿Õµîµµ,2023-10-11 22:00,.49 & 25.1,112,µ¿³²µ¿
274,»ó¿Õµîµµ,2023-10-11 22:10,.45 & 22.9,115,µ¿³²µ¿
275,»ó¿Õµîµµ,2023-10-11 22:20,.44 & 22.6,105,µ¿³²µ¿
276,»ó¿Õµîµµ,2023-10-11 22:30,.51 & 26,102,µ¿³²µ¿
277,»ó¿Õµîµµ,2023-10-11 22:40,.46 & 23.6,105,µ¿³²µ¿
278,»ó¿Õµîµµ,2023-10-11 22:50,.46 & 23.6,97,µ¿
279,»ó¿Õµîµµ,2023-10-11 23:00,.48 & 24.7,92,µ¿
280,»ó¿Õµîµµ,2023-10-11 23:10,.47 & 24.2,92,µ¿
281,»ó¿Õµîµµ,2023-10-11 23:20,.44 & 22.6,89,µ¿
282,»ó¿Õµîµµ,2023-10-11 23:30,.38 & 19.5,71,µ¿ºÏµ¿
283,»ó¿Õµîµµ,2023-10-11 23:40,.38 & 19.3,73,µ¿ºÏµ¿
284,»ó¿Õµîµµ,2023-10-11 23:50,.26 & 13.2,58,µ¿ºÏµ¿
